num_edges,num_nodes,min_degree,max_degree,diameter,quartile_1,quartile_2,quartile_3,y,baseline_width,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,s1_11,s1_12,s1_13,s1_14,s1_15,s1_16,s1_17,s1_18,s1_19,s1_20,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20,s3_1,s3_2,s3_3,s3_4,s3_5,s3_6,s3_7,s3_8,s3_9,s3_10,s3_11,s3_12,s3_13,s3_14,s3_15,s3_16,s3_17,s3_18,s3_19,s3_20,s4_1,s4_2,s4_3,s4_4,s4_5,s4_6,s4_7,s4_8,s4_9,s4_10,s4_11,s4_12,s4_13,s4_14,s4_15,s4_16,s4_17,s4_18,s4_19,s4_20,s5_1,s5_2,s5_3,s5_4,s5_5,s5_6,s5_7,s5_8,s5_9,s5_10,s5_11,s5_12,s5_13,s5_14,s5_15,s5_16,s5_17,s5_18,s5_19,s5_20
47,20,2,8,5,2,4,5,TRUE,TRUE,4,4,1,5,2,4,7,8,0,5,0,2,4,6,5,3,3,2,4,1,5,5,2,5,3,5,7,8,1,6,1,3,5,6,5,4,4,3,5,2,6,6,3,6,4,6,8,9,2,7,2,4,6,7,5,5,5,4,6,3,7,7,4,6,5,6,8,9,3,7,3,5,6,7,6,6,5,5,6,4,7,7,5,6,6,7,9,0,4,8,4,6,7,8,6,7,6,5,6,5
55,20,1,12,4,3.25,5.5,6,TRUE,FALSE,4,5,6,6,4,5,2,7,6,9,1,8,8,3,0,2,6,4,6,6,5,5,7,6,5,5,3,8,7,0,2,9,9,4,1,3,6,5,6,7,6,6,8,7,6,6,4,9,8,1,3,9,9,5,2,4,7,6,7,8,6,6,8,7,6,6,5,9,9,2,4,9,9,5,3,5,7,7,8,9,7,7,9,7,7,7,6,9,0,3,5,9,0,6,4,5,8,8,9,0
55,20,2,9,5,2,5.5,8,TRUE,TRUE,3,7,0,9,2,7,2,3,3,5,9,2,7,8,8,8,8,6,0,0,4,8,1,0,3,8,3,4,4,6,0,3,8,9,9,9,9,7,1,1,5,8,2,1,4,8,4,5,5,6,1,4,9,0,9,0,9,7,2,2,5,9,3,2,5,8,5,5,5,6,2,5,9,1,9,1,0,7,3,3,6,0,4,3,6,9,6,6,6,7,3,6,0,2,0,2,1,8,4,4
56,20,2,9,3,3,6,7,TRUE,TRUE,3,7,7,8,9,7,2,7,7,1,5,3,3,6,6,3,4,4,7,6,4,8,7,9,0,7,3,8,7,2,6,4,4,7,7,4,5,5,7,6,5,8,8,9,1,7,4,8,7,3,6,5,5,7,7,5,5,5,7,6,6,9,8,9,2,7,5,8,8,4,7,6,6,8,7,6,6,6,8,7,7,0,9,0,3,8,6,9,8,5,7,7,7,9,8,7,7,7,9,8
53,20,2,14,3,4,5.5,7.75,TRUE,FALSE,6,5,9,7,8,5,5,7,9,8,3,4,1,4,7,7,5,3,0,8,7,6,0,7,8,5,6,7,0,8,4,5,2,5,7,7,5,4,1,9,7,6,1,8,9,6,7,8,1,8,5,5,3,6,7,8,5,5,2,0,8,7,2,9,0,7,8,9,2,9,6,6,4,7,8,9,6,6,3,1,9,8,3,0,1,8,9,0,3,0,7,6,5,7,8,0,7,7,4,2
56,20,3,12,3,1.5,3.5,7,TRUE,FALSE,0,9,9,3,7,8,3,5,3,0,4,0,7,4,3,4,1,8,1,3,1,9,9,4,8,8,4,6,4,1,5,1,7,5,4,5,2,8,2,4,2,0,9,5,8,8,5,6,5,2,5,2,8,5,5,5,3,8,3,5,3,1,0,6,9,9,6,7,6,3,6,3,9,6,6,6,4,9,4,6,4,2,1,6,0,0,7,8,7,4,7,4,0,7,6,6,5,9,5,6
42,20,2,8,5,1.25,5,8,FALSE,FALSE,5,8,9,2,0,0,8,7,8,1,5,3,9,1,5,8,1,6,3,2,6,9,0,3,1,1,9,8,9,2,6,4,0,2,6,9,2,7,4,3,7,0,1,4,2,2,0,9,9,3,6,5,1,3,6,0,3,7,5,4,8,1,2,5,3,3,1,0,0,4,7,6,2,4,6,1,4,8,5,5,9,2,3,6,4,4,2,1,1,5,7,6,3,5,6,2,5,8,6,6
57,20,2,11,4,3.25,5,6.75,TRUE,FALSE,9,9,5,8,3,2,5,4,4,5,8,6,1,0,7,6,5,4,5,1,0,9,6,8,4,3,5,5,5,5,9,7,2,1,8,7,5,5,5,2,1,9,7,8,5,4,6,5,5,6,9,8,3,2,9,8,5,6,5,3,2,9,8,8,5,5,6,5,5,7,0,9,4,3,0,9,6,7,6,4,3,0,9,9,6,6,7,6,5,7,1,9,5,4,1,0,6,7,6,5
72,20,2,14,4,1,4.5,6.75,TRUE,FALSE,7,2,6,8,8,4,0,2,0,1,8,6,6,1,1,9,3,6,5,0,8,3,6,8,8,5,1,3,1,2,9,6,6,2,2,9,4,7,6,1,9,4,7,9,9,6,2,4,2,3,0,7,7,3,3,9,5,7,7,2,9,5,7,9,9,6,3,5,3,4,1,7,7,4,4,9,6,8,7,3,9,5,7,9,9,6,4,6,4,5,2,7,7,5,5,9,7,9,7,4
44,20,2,8,5,1,3,8,TRUE,TRUE,0,9,1,1,2,3,9,3,3,9,8,8,0,5,8,6,0,3,1,8,1,0,2,2,3,4,0,4,4,0,9,9,1,6,9,7,1,4,2,9,2,1,3,3,4,5,1,5,5,1,9,9,2,7,0,7,2,5,3,9,3,2,4,4,5,5,2,6,6,2,0,0,3,7,1,8,3,6,4,0,4,3,5,5,5,6,3,7,7,3,1,1,4,8,2,8,4,6,5,1
