,kappa,# Edges,# Nodes,Min Degree,Max Degree,Diameter,Concentrated
0,3.887704286342583,3493,89,70,85,2,0
1,3.256588207589905,517,38,22,32,2,1
2,3.712962781750694,3127,92,58,77,2,0
3,1.4913589823103566,2489,88,46,69,2,0
4,1.685228275873523,2189,73,53,67,2,0
5,4.45772870975995,610,49,16,33,2,1
6,0.761491153174215,90,28,2,14,3,0
7,1.0804054884960386,802,45,27,41,2,0
8,1.7637751156761206,310,35,12,23,2,0
9,2.289891178364349,419,50,9,22,3,0
10,3.8606137332189636,2076,73,50,66,2,1
11,0.9803072364604133,2829,92,50,75,2,0
12,1.2513494898837685,813,57,19,37,2,0
13,3.6527367749477118,214,28,12,20,2,0
14,4.33315421763654,1425,58,43,55,2,1
15,1.9462756517197612,1710,66,44,58,2,0
16,1.1067069056222842,963,96,10,29,3,0
17,3.341502220513666,202,57,1,12,4,0
18,4.01196425871309,1087,69,24,41,2,1
19,1.8269507476632856,2796,92,50,72,2,0
20,2.2478400056787016,173,28,7,16,2,0
21,2.1022526438824474,2559,80,53,72,2,0
22,1.7143169144594879,568,43,20,34,2,0
23,2.7956903849362402,638,71,10,27,3,0
24,3.0557122998743207,669,39,30,38,2,0
25,0.71341943694449,365,41,10,23,2,0
26,1.950445102785217,613,76,10,22,3,0
27,1.6567153061057067,112,64,1,7,7,0
28,0.6166873129625507,2323,89,44,62,2,0
29,3.285615531511351,1483,73,32,50,2,1
30,3.849322253461478,149,31,4,15,3,1
31,1.913438411645127,2896,100,47,71,2,0
32,2.204967458224947,175,29,7,18,2,0
33,2.959196181069451,496,48,16,26,2,0
34,1.3848318310509975,1311,72,27,45,2,0
35,1.0425219519255817,1336,88,23,39,2,0
36,3.3889711781234375,129,29,4,15,3,0
37,1.7934674757122369,807,69,16,31,2,0
38,0.7234708297942181,531,44,16,31,2,0
39,4.1685811258643355,1363,67,32,48,2,0
40,4.391669292160346,776,64,11,31,2,1
41,2.595804083784914,3302,90,66,84,2,0
42,2.9725505770190175,816,49,24,41,2,1
43,3.5402682035125044,431,42,12,29,2,1
44,4.478697285206685,515,51,15,29,2,1
45,1.7512299932681574,523,67,7,23,3,0
46,2.066711004642724,1943,76,42,60,2,0
47,0.6260532454552274,158,45,3,11,4,0
48,2.4939344988649443,682,61,13,28,2,0
49,1.2358100225976298,209,48,4,17,3,0
50,3.8549127931225677,631,58,15,31,2,1
51,3.599116027751317,766,50,25,39,2,0
52,4.388745316018193,292,30,14,23,2,1
53,0.941369100972417,1351,70,31,53,2,0
54,3.999592196326888,2783,96,47,72,2,1
55,3.9007720890782753,516,61,10,23,3,0
56,1.3285980761283667,2630,80,54,74,2,0
57,2.2529906080768516,102,35,1,12,4,0
58,1.1601425633088662,2016,93,34,57,2,0
